yt_id,imdb_id,length_seconds
BjCjlMXLVtw,tt0864761,140
IXdycEK_38Y,tt0050212,163
4YFz0PJernc,tt1666801,
wG6wio8azyE,tt0102510,129
UqKkfcG36V4,tt0340377,
VCghHER3cOU,tt0486822,163
c-unYxWW6ws,tt1135487,209
2l_IUAcvfv8,tt0181689,152
Rd87CKvUHjU,tt0497465,
vh7_WKODlE8,tt6857112,197
Ece-FTMuKFU,tt0479500,
gXRw45jyIsE,tt0032904,164
JC2eKssXavo,tt0300051,158
ESkmmFHikgg,tt0976051,
B86JJELi5Tg,tt1065073,
BYmHra1d_Nw,tt0095031,190
hiREoiox0Tw,tt3168230,176
dvJqm3PFKLk,tt0047472,
3rYbV-Q-VFo,tt0450405,77
ryyEEyKD9EU,tt3322364,164
GnbUZqkXBQM,tt0315733,
eRNCIg86DKs,tt0058586,138
93qTzU2bNh8,tt7334528,167
WPggG_9I20E,tt3553442,143
1PLIzuZNuJI,tt0096787,
RWfQwm_BgZY,tt0884732,200
t5qkPMvpDfg,tt0811138,163
gRBOrpdfsiM,tt1213663,152
sQFqzFD78Ck,tt0109340,162
hHWcoaM_59E,tt0457510,134
MVSH6eiGvSM,tt0325703,160
xDkXQ7uBr5M,tt6499752,180
rpy7vhvX8jw,tt0338216,179
fBXXvn4s-74,tt1640484,229
3T-VAi2Xqq8,tt0078788,
4zBMw2XqgWY,tt0455944,138
h9WDm1k4Hz4,tt1216491,175
ZLjp7ahdbWc,tt0243133,154
8BY36nM4_HI,tt0049414,166
c5BJJbtFP4E,tt0081696,162
pYBS9Sp0xU8,tt0120148,163
AdBu6VAESeI,tt0078748,
__f2KtcXAxI,tt0817230,127
Rkc09sTiS7g,tt0268695,162
f2SskRLd4F4,tt0048028,130
lz98akbX_NE,tt0034587,195
w4RGgEi7T8E,tt0122541,
VyEM6uxoo7o,tt0110005,
6OKt2CZ4ULE,tt0087928,73
bc2muGlQIlk,tt0083929,179
4sNyWmYN-rM,tt2557478,182
AO_944kf0RA,tt0064665,157
FDDEVXimR2I,tt1979320,
Mw1Z2Jlp9Qw,tt0096320,209
98I5LTPcRnw,tt0296572,195
lCqHKRjIMu8,tt2717822,155
23ZWuWe2riY,tt0829482,160
41MHIJIg6u0,tt0116191,159
7tXcQ8BBqXs,tt0264734,
v0AyEpFDi48,tt6320628,277
4331uXY0nxA,tt0948470,183
N9d-c9ooO7s,tt0058586,186
R1f88CiYzes,tt0469021,
uqMxfPMxW78,tt0163187,
8p0YBrmfLyA,tt1045658,259
pCQ0k_WvwvQ,tt2848292,151
Z8zeMXCxlmE,tt0071577,
IGVwlBTTqYM,tt0251160,190
iMJnr5bhQUI,tt0093137,
_nSQhWq7etg,tt0448115,226
hQL6_NbLwtk,tt0134084,146
Y-N5lfNPLnY,tt0473692,
fG1_01gDUoc,tt1020558,
6PpQk63iIWw,tt0138524,160
jYnRBX2Trtk,tt0068646,162
onO71_aItKA,tt2377322,171
MsSPAEtYaZE,tt0375679,
xEIhAu0v-kU,tt1320253,
v5llnbqhLZM,tt2310332,209
M9F-ZtKswww,tt1821694,204
ZXkKHnmKWoI,tt0455857,156
bXzp-98u468,tt0031725,128
VK-GL8zzH9I,tt0780511,133
K0xpWKgNCk0,tt0449010,162
BxQMT4R51Dk,tt0138524,185
f0wEV9jySXg,tt2637276,178
Lcf227lWEek,tt0094721,144
ShB8ZLISubA,tt1320253,
uX7CAoxBNOU,tt0910936,194
bMtdrKIdDgE,tt0083929,189
LjiRvVUmets,tt0251160,217
wcjCEUeC8nk,tt2378507,184
FuJ2soRp1VI,tt0918927,160
Dq6jS6uazUI,tt0090060,163
BIt9IYPOY2g,tt0050468,163
o1mDknOtAv4,tt0858479,
xxulNn8UDtY,tt0095031,157
VWb1z6ZwUoY,tt0087332,127
oOp7Q_xw94I,tt2510894,
jPsXJlylRvs,tt0106598,138
FQfb9ayuY3A,tt0107206,140
ycpEjbV4KRM,tt0104070,108
3NpYTks1mDI,tt1219342,
5yGuDDemqaw,tt0350258,171
ir1sVy9JLyo,tt0425112,153
zQydroqGFbA,tt0375173,163
ZMURdEkb_3Y,tt0905372,188
9V2nsuzAzb8,tt0864761,102
P9jJ6Bejayg,tt6133466,153
P04IYEOIr38,tt0333780,246
4IErqIMLwtQ,tt0032138,
tyyPSnHcthg,tt0259324,213
UsKSjKrIEq8,tt1690953,
zsqpY4w2e1Q,tt0449010,157
6vjDZQtAKuc,tt0976051,
i5dTE5dgWOw,tt2975590,222
yg42xdVf9mM,tt0479500,
xEt5dEOcW0I,tt0098554,205
TeDEtT7YjYY,tt0259324,229
qDR_yTik_xo,tt0116483,204
sCsMjWjftZs,tt2267968,
VtnxXJy01ag,tt0200465,
dzvTHhWDjIg,tt0145660,122
o7WSgC9oGic,tt0112508,180
zCLyLBrugD0,tt0054331,161
JPjeOAVkSe4,tt5657846,143
UCGdsPwcKKg,tt1270797,245
B0FZhLeHy7A,tt0060086,162
74Ern74xGsQ,tt0117218,143
Vx0MQxIFBW8,tt2283362,229
OYeox3LLQ08,tt0049833,104
gi9EwdK-6L4,tt6499752,164
nS-0lfCTcrk,tt0101635,170
YVz211iI26o,tt0094226,163
lFHLE24hDQY,tt0338013,133
1itYlP2GpI8,tt0120601,163
7l79p5apaqQ,tt2378507,180
aKnvOP-1U00,tt0037913,156
e3mwmwPhr08,tt2184339,195
IvFBobchMoc,tt1646971,
