yt_id,imdb_id,clip_length
z7siqPhc1qc,tt5886046,221.0
Vn5WazNB5sU,tt3410834,179.0
9_T2VQgL2XY,tt2404435,214.0
mZwKEa09xTc,tt0358135,163.0
UIfdjPDPM-I,tt0120382,101.0
rSWBuZws30g,tt0079367,208.0
iDnE3PV4YNc,tt3890160,193.0
DTqY1j7wgD4,tt0490215,141.0
aoPKajvq3gE,tt0087182,207.0
69RNNex-sig,tt0249462,162.0
1_CfcecGCVA,tt1462758,208.0
fuwfQJrMgLI,tt2245003,191.0
FaSlQP79M-M,tt0358135,157.0
rChS9MeLW-w,tt0427969,155.0
QP_o0yWJYKM,tt3862750,200.0
KtekLRYl3q8,tt0264472,161.0
a6oC5iQB4u8,tt0285742,162.0
PQbyl1vsn1o,tt1658801,210.0
kHq3y20HhRk,tt1046173,152.0
I4mtL3Zs0Zs,tt3280262,166.0
hML3kvOUVZU,tt1920849,138.0
cVPTibn-ewI,tt0077766,243.0
yYQtZCaPFaM,tt3631112,162.0
kFCUCnNKmmI,tt0195685,148.0
DdG74P7j6h8,tt1979320,201.0
oUpzcxwFI6o,tt1355630,171.0
8e5fzbsfGCI,tt0355702,147.0
PEo3OnoPBI4,tt0236493,150.0
pMx5aSV7qFg,tt0163978,152.0
gjRCN-nrEl4,tt1211956,134.0
RRJ1EPuYkZQ,tt0073802,80.0
7JOey0CIgMM,tt1172570,160.0
QeTaNmnwFHo,tt0102266,187.0
BavTQmiA9mc,tt0425112,168.0
1CKEXvHN9es,tt0891527,152.0
s66zFW3nogU,tt0172495,163.0
mT5NiDGbnVM,tt0091541,183.0
9Fu4muqAsBM,tt2473682,149.0
3wqXNKYn-fQ,tt5052448,183.0
K53sv3l9DB4,tt0313737,129.0
9fEMKGFr-Sk,tt5117670,167.0
j477dAxaeck,tt0887883,225.0
X6YLAmKFpRM,tt0119528,197.0
6BGmQ21EekY,tt0298814,162.0
LIIzjJjsW8s,tt0317198,199.0
Jxs8p22Pq_Y,tt1655441,192.0
gEqHJ1tomnk,tt0078748,162.0
DCOm4osfWn8,tt0264464,109.0
9DaWcHIGk7I,tt0878804,83.0
OD69M9N_ihQ,tt0858479,125.0
DAPrbiJaej4,tt3960412,187.0
kNAO6eHuCjY,tt4666726,185.0
ytTSb8302aI,tt0052618,213.0
ndItN7hhtII,tt0369735,137.0
MAu2e0VbvY4,tt0298814,147.0
avXk2EamFs4,tt0119874,157.0
OT-cPtnytxo,tt0780567,159.0
lKqS8lnlJsc,tt2637294,132.0
nzjEYhUtRGc,tt0146316,162.0
tjpRBPJGPjY,tt1770734,200.0
UZnkAElIe_c,tt1340138,143.0
3SessG74yMk,tt0049414,221.0
Y2ZU8ZjyzoA,tt7008872,118.0
HfEjIU7Qbj8,tt6320628,221.0
F2zTd_YwTvo,tt0105323,270.0
JUuQ3MggHbw,tt0243736,163.0
7FkWC2S0MfY,tt0451079,154.0
jzzrFFivBKk,tt0098627,160.0
rrWLFKZafAc,tt3393786,143.0
QxNZJZrkdM0,tt1051904,137.0
CWS1CWSAmjs,tt3110958,187.0
2H7XknY3PMA,tt0036098,139.0
c9oE47YW6YM,tt6000478,158.0
4c_4MGTCgHY,tt6781982,93.0
UlIBiZxArGY,tt0175142,162.0
3e7wbs_xfas,tt0119396,162.0
ic7F0sCFcZ4,tt1231587,81.0
BjCjlMXLVtw,tt0864761,140.0
IXdycEK_38Y,tt0050212,163.0
4YFz0PJernc,tt1666801,183.0
wG6wio8azyE,tt0102510,129.0
UqKkfcG36V4,tt0340377,160.0
VCghHER3cOU,tt0486822,163.0
c-unYxWW6ws,tt1135487,209.0
2l_IUAcvfv8,tt0181689,152.0
Rd87CKvUHjU,tt0497465,159.0
vh7_WKODlE8,tt6857112,197.0
Ece-FTMuKFU,tt0479500,153.0
gXRw45jyIsE,tt0032904,164.0
JC2eKssXavo,tt0300051,158.0
ESkmmFHikgg,tt0976051,213.0
B86JJELi5Tg,tt1065073,213.0
BYmHra1d_Nw,tt0095031,190.0
hiREoiox0Tw,tt3168230,176.0
dvJqm3PFKLk,tt0047472,147.0
3rYbV-Q-VFo,tt0450405,77.0
ryyEEyKD9EU,tt3322364,164.0
GnbUZqkXBQM,tt0315733,98.0
eRNCIg86DKs,tt0058586,138.0
93qTzU2bNh8,tt7334528,167.0
WPggG_9I20E,tt3553442,143.0
1PLIzuZNuJI,tt0096787,135.0
RWfQwm_BgZY,tt0884732,200.0
t5qkPMvpDfg,tt0811138,163.0
gRBOrpdfsiM,tt1213663,152.0
sQFqzFD78Ck,tt0109340,162.0
hHWcoaM_59E,tt0457510,134.0
MVSH6eiGvSM,tt0325703,160.0
xDkXQ7uBr5M,tt6499752,180.0
rpy7vhvX8jw,tt0338216,179.0
fBXXvn4s-74,tt1640484,229.0
3T-VAi2Xqq8,tt0078788,170.0
4zBMw2XqgWY,tt0455944,138.0
h9WDm1k4Hz4,tt1216491,175.0
ZLjp7ahdbWc,tt0243133,154.0
8BY36nM4_HI,tt0049414,166.0
c5BJJbtFP4E,tt0081696,162.0
pYBS9Sp0xU8,tt0120148,163.0
AdBu6VAESeI,tt0078748,162.0
__f2KtcXAxI,tt0817230,127.0
Rkc09sTiS7g,tt0268695,162.0
f2SskRLd4F4,tt0048028,130.0
lz98akbX_NE,tt0034587,195.0
w4RGgEi7T8E,tt0122541,131.0
VyEM6uxoo7o,tt0110005,
6OKt2CZ4ULE,tt0087928,73.0
bc2muGlQIlk,tt0083929,179.0
4sNyWmYN-rM,tt2557478,182.0
AO_944kf0RA,tt0064665,157.0
FDDEVXimR2I,tt1979320,207.0
Mw1Z2Jlp9Qw,tt0096320,209.0
98I5LTPcRnw,tt0296572,195.0
lCqHKRjIMu8,tt2717822,155.0
23ZWuWe2riY,tt0829482,160.0
41MHIJIg6u0,tt0116191,159.0
7tXcQ8BBqXs,tt0264734,195.0
v0AyEpFDi48,tt6320628,277.0
4331uXY0nxA,tt0948470,183.0
N9d-c9ooO7s,tt0058586,186.0
R1f88CiYzes,tt0469021,170.0
uqMxfPMxW78,tt0163187,162.0
8p0YBrmfLyA,tt1045658,259.0
pCQ0k_WvwvQ,tt2848292,151.0
Z8zeMXCxlmE,tt0071577,161.0
IGVwlBTTqYM,tt0251160,190.0
iMJnr5bhQUI,tt0093137,208.0
_nSQhWq7etg,tt0448115,226.0
hQL6_NbLwtk,tt0134084,146.0
Y-N5lfNPLnY,tt0473692,147.0
fG1_01gDUoc,tt1020558,213.0
6PpQk63iIWw,tt0138524,160.0
jYnRBX2Trtk,tt0068646,162.0
onO71_aItKA,tt2377322,171.0
MsSPAEtYaZE,tt0375679,140.0
xEIhAu0v-kU,tt1320253,135.0
v5llnbqhLZM,tt2310332,209.0
M9F-ZtKswww,tt1821694,204.0
ZXkKHnmKWoI,tt0455857,156.0
bXzp-98u468,tt0031725,128.0
VK-GL8zzH9I,tt0780511,133.0
K0xpWKgNCk0,tt0449010,162.0
BxQMT4R51Dk,tt0138524,185.0
f0wEV9jySXg,tt2637276,178.0
Lcf227lWEek,tt0094721,144.0
ShB8ZLISubA,tt1320253,167.0
uX7CAoxBNOU,tt0910936,194.0
bMtdrKIdDgE,tt0083929,189.0
LjiRvVUmets,tt0251160,217.0
wcjCEUeC8nk,tt2378507,184.0
FuJ2soRp1VI,tt0918927,160.0
Dq6jS6uazUI,tt0090060,163.0
BIt9IYPOY2g,tt0050468,163.0
o1mDknOtAv4,tt0858479,163.0
xxulNn8UDtY,tt0095031,157.0
VWb1z6ZwUoY,tt0087332,127.0
oOp7Q_xw94I,tt2510894,155.0
jPsXJlylRvs,tt0106598,138.0
FQfb9ayuY3A,tt0107206,140.0
ycpEjbV4KRM,tt0104070,108.0
3NpYTks1mDI,tt1219342,170.0
5yGuDDemqaw,tt0350258,171.0
ir1sVy9JLyo,tt0425112,153.0
zQydroqGFbA,tt0375173,163.0
ZMURdEkb_3Y,tt0905372,188.0
9V2nsuzAzb8,tt0864761,102.0
P9jJ6Bejayg,tt6133466,153.0
P04IYEOIr38,tt0333780,246.0
4IErqIMLwtQ,tt0032138,140.0
tyyPSnHcthg,tt0259324,213.0
UsKSjKrIEq8,tt1690953,202.0
zsqpY4w2e1Q,tt0449010,157.0
6vjDZQtAKuc,tt0976051,156.0
i5dTE5dgWOw,tt2975590,222.0
yg42xdVf9mM,tt0479500,139.0
xEt5dEOcW0I,tt0098554,205.0
TeDEtT7YjYY,tt0259324,229.0
qDR_yTik_xo,tt0116483,204.0
sCsMjWjftZs,tt2267968,153.0
VtnxXJy01ag,tt0200465,162.0
dzvTHhWDjIg,tt0145660,122.0
o7WSgC9oGic,tt0112508,180.0
zCLyLBrugD0,tt0054331,161.0
JPjeOAVkSe4,tt5657846,143.0
UCGdsPwcKKg,tt1270797,245.0
B0FZhLeHy7A,tt0060086,162.0
74Ern74xGsQ,tt0117218,143.0
Vx0MQxIFBW8,tt2283362,229.0
OYeox3LLQ08,tt0049833,104.0
gi9EwdK-6L4,tt6499752,164.0
nS-0lfCTcrk,tt0101635,170.0
YVz211iI26o,tt0094226,163.0
lFHLE24hDQY,tt0338013,133.0
1itYlP2GpI8,tt0120601,163.0
7l79p5apaqQ,tt2378507,180.0
aKnvOP-1U00,tt0037913,156.0
e3mwmwPhr08,tt2184339,195.0
IvFBobchMoc,tt1646971,202.0
